Source: 
C:\ACEmulator\Logs Unpacked\01-31-2017\Heero-Yuy13117\pkt_2017-1-30_1485843152_log.pcap

Partial Exports - Missing appraisal info:
B4BB3A20:Salvage (100)
B56B5D04:Salvage (100)
B506E97B:Salvage (100)
B569EC62:Salvage (100)
B56901EE:Salvage (100)
B4A9D6E8:Salvage (100)
B56BA62A:Salvage (100)
B56BDE56:Salvage (100)
B5F5F317:Salvage (100)
B5F39568:Salvage (100)
B5F44243:Salvage (100)
B5F3EA52:Salvage (100)
B5D4B396:Salvage (100)
B5F1FA80:Salvage (100)
B5D6ED01:Salvage (100)
B5D6D80C:Salvage (100)
B5DFA226:Salvage (100)
B5D4CD75:Salvage (100)
B5DF8DE1:Salvage (100)
B5D90CD5:Salvage (100)
B5DFA387:Salvage (100)
B5DF815F:Salvage (100)
B5D6E942:Salvage (100)
B5D90DF8:Salvage (100)
B5D6CF09:Salvage (100)
B5D6E9C7:Salvage (100)
B5C6A6A1:Ancient Empyrean Trinket
B5F5F559:Physician's Crystal
B5BAE2F6:Salvage (100)
B5F35DF3:Salvage (100)
B5F3696B:Salvage (100)
B5F5FC03:Salvage (100)

Missing Exports - Possessed items that were not found:
