Source: 
C:\ACEmulator\Logs Unpacked\01-31-2017\Granis-2017-01-31_last_hours\pkt_2017-1-31_1485878354_log.pcap
AF721CF5:Pyreal Bar
AF721CF6:Pyreal Bar
AF721CF7:Pyreal Bar
AF721CF8:Pack
AF721CF9:Pyreal Bar
AF721CFA:Pyreal Bar
AF721CFB:Pyreal Bar
AF721CFC:Pyreal Bar
AF721CFD:Pyreal Bar
AF721CFE:Pyreal Bar
AF721CFF:Pyreal Bar
AF721D00:Pyreal Bar
AF721D01:Pyreal Bar
AF721D02:Pyreal Bar
AF721D03:Pyreal Bar
AF721D04:Pyreal Bar
AF721D05:Pyreal Bar
AF721D06:Pyreal Bar
AF721D07:Pyreal Bar
AF721D08:Pyreal Bar
AF721D09:Pyreal Bar
AF721D0A:Pyreal Bar
AF721D0B:Pyreal Bar
AF721D0C:Pyreal Bar
AF721D0D:Pyreal Bar
AF721D0E:Pyreal Bar
AF721D0F:Pyreal Bar
AF721D10:Pyreal Bar
AF721D11:Pack
AF721D12:Pyreal Bar
AF721D13:Pyreal Bar
AF721D14:Pyreal Bar
AF721D15:Pyreal Bar
AF721D16:Pyreal Bar
AF721D17:Pyreal Bar
AF721D18:Pyreal Bar
AF721D19:Pyreal Bar
AF721D1A:Pyreal Bar
AF721D1B:Pyreal Bar
AF721D1C:Pyreal Bar
AF721D1D:Pyreal Bar
AF721D1E:Pyreal Bar
AF721D1F:Pyreal Bar
AF721D20:Pyreal Bar
AF721D21:Pyreal Bar
AF721D22:Pyreal Bar
AF721D23:Pyreal Bar
AF721D24:Pyreal Bar
AF721D25:Pyreal Bar
AF721D26:Pyreal Bar
AF721D27:Pyreal Bar
AF721D28:Pyreal Bar
AF721D29:Pyreal Bar
AF721D2B:Some Changes for February 2012
AF721D2C:Blackmoor's Favor

Missing Exports - Possessed items that were not found:
