Source: 
C:\ACEmulator\Logs Unpacked\01-31-2017\imtrippin-01-30-2017-empyrean-workshop-and-more\pkt_2017-1-30_1485816790_log.pcap

Partial Exports - Missing appraisal info:
BFE56E20:Salvage (100)
AC28B073:Salvage (100)
AC3A4FC7:Salvage (100)
AC29B498:Salvage (100)
AC2D7DF1:Salvage (100)
AEDCA8A7:Salvage (100)
AE13D5E1:Salvage (100)
BF038433:Salvage (100)
AE34C87B:Salvage (100)
AE331103:Salvage (100)
AE07E712:Salvage (100)
AE34D0F1:Salvage (100)
BF32E690:Salvage (100)
AE3BEC9E:Salvage (100)
BF9FB048:Salvage (100)
BFD1E1AA:Salvage (100)
C073C5C1:Salvage (100)
C0328BB6:Salvage (100)
BABEFECC:Salvage (100)
C0C4DFC8:Salvage (100)
C0AE7105:Salvage (100)
C0C0D35D:Salvage (100)
C0C0C7F4:Salvage (100)
C0B78D1C:Salvage (100)
C0EBC2AB:Salvage (100)
C0EBD363:Salvage (100)
C0D855D0:Salvage (100)
C0D84220:Salvage (100)
C0EBDDF5:Salvage (100)
C0DC749B:Salvage (100)
C0B4DE8F:Salvage (100)
C0D1F774:Salvage (100)
C0C4EF91:Salvage (100)
C11FF804:Ink of Formation
C11FF2C0:Glyph of Damage

Missing Exports - Possessed items that were not found:
